Header Size:	 79	 	 
Pulse Version:	 80	 	 
Running Pulse Version:	PULSE LabShop  Version 18.1.0.28 - 2013-11-23	 	 
Decimal Symbol:	,	 	 
Date Format:	dd.MM.yyyy	 	 
Time Format:	HH:mm:ss:mmm	 	 
Data Type:	Complex	 	 
Slice:	False	 	 
Z-Axis type:	Linear	 	 
Z-Axis size:	1	 	 
Z-Axis unit:	 	 	 
Z-Axis first value:	 0,0000000000e+000	 	 
Z-Axis delta:	 1,0000000000e+000	 	 
X-Axis type:	Linear	 	 
X-Axis size:	801	 	 
X-Axis unit:	Hz	 	 
X-Axis first value:	 6,6000000000e+001	 	 
X-Axis delta:	 1,2500000000e-002	 	 
	 	 	 
AmplitudeUnit:	(m/s²)/N	 	 
Analyzer:	FFT_Spectrum_Averaging	 	 
AnalyzerName:	STS FFT Analyzer	 	 
	 	 	 
	 	 	 
Bipolar:	True	 	 
CenterFrequency:	 7,1000000000e+001	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
Domain:	1	 	 
Function:	Frequency Response	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
MultiBufferName:	Input	 	 
NBW:	 1,5000000000e+000	 	 
	 	 	 
OverlapFailed:	False	 	 
Overrun:	False	 	 
Power:	False	 	 
	 	 	 
Ratio:	True	 	 
RecordLength:	 8,0000000000e+001	 	 
ReducedSize:	True	 	 
Ref_Signal:	ForceTransducer Ref.	 	 
	 	 	 
	 	 	 
RefSignalUnit:	N	 	 
	 	 	 
	 	 	 
Signal:	4507 B 1-x	 	 
	 	 	 
SignalUnit:	m/s²	 	 
	 	 	 
	 	 	 
	 	 	 
Title:	Frequency Response H1(4507 B 1-x,ForceTransducer Ref.) - STS Measurement 1	 	 
Title1:	STS : STS Measurement 1 : Input : STS FFT Analyzer	 	 
	 	 	 
	 	 	 
	 	 	 
ZoomOn:	True	 	 
	 	 	 
TemplateName:	STS	 	 
MeasurementName:	STS Measurement 1	 	 
MeasurementSlice:	False	 	 
	 	 	 
	 	 	 
	 	 	 
EnvelopeOn:	False	 	 
	 	 	 
	 	 	 
	 	 	 
Z-index:	 	1	 
Date:	 	01.03.2016	 
Time:	 	18:13:52:500	 
Relative time:	 	 0,00000e+000	 
Z-axis:	 	 0,0000000000e+000	 
1	 6,6000000000e+001	 2,06040e+001	-4,36273e+000
2	 6,6012500000e+001	 2,06967e+001	-4,37053e+000
3	 6,6025000000e+001	 2,08678e+001	-4,38629e+000
4	 6,6037500000e+001	 2,09464e+001	-4,42443e+000
5	 6,6050000000e+001	 2,10355e+001	-4,36676e+000
6	 6,6062500000e+001	 2,12046e+001	-4,31451e+000
7	 6,6075000000e+001	 2,12941e+001	-4,41021e+000
8	 6,6087500000e+001	 2,12681e+001	-4,46223e+000
9	 6,6100000000e+001	 2,13795e+001	-4,42871e+000
10	 6,6112500000e+001	 2,15460e+001	-4,48260e+000
11	 6,6125000000e+001	 2,17234e+001	-4,42091e+000
12	 6,6137500000e+001	 2,18295e+001	-4,52441e+000
13	 6,6150000000e+001	 2,18878e+001	-4,68104e+000
14	 6,6162500000e+001	 2,19338e+001	-4,65405e+000
15	 6,6175000000e+001	 2,20427e+001	-4,64319e+000
16	 6,6187500000e+001	 2,19937e+001	-4,64254e+000
17	 6,6200000000e+001	 2,22523e+001	-4,72318e+000
18	 6,6212500000e+001	 2,24647e+001	-4,70785e+000
19	 6,6225000000e+001	 2,24893e+001	-4,67525e+000
20	 6,6237500000e+001	 2,26784e+001	-4,72304e+000
21	 6,6250000000e+001	 2,26945e+001	-4,82379e+000
22	 6,6262500000e+001	 2,26449e+001	-4,90897e+000
23	 6,6275000000e+001	 2,29518e+001	-4,90332e+000
24	 6,6287500000e+001	 2,32503e+001	-4,91276e+000
25	 6,6300000000e+001	 2,33225e+001	-4,86896e+000
26	 6,6312500000e+001	 2,33434e+001	-4,78030e+000
27	 6,6325000000e+001	 2,34938e+001	-4,85551e+000
28	 6,6337500000e+001	 2,36465e+001	-4,96248e+000
29	 6,6350000000e+001	 2,36505e+001	-5,06005e+000
30	 6,6362500000e+001	 2,38411e+001	-5,10065e+000
31	 6,6375000000e+001	 2,40145e+001	-5,09190e+000
32	 6,6387500000e+001	 2,41351e+001	-5,20269e+000
33	 6,6400000000e+001	 2,42530e+001	-5,27930e+000
34	 6,6412500000e+001	 2,44002e+001	-5,18881e+000
35	 6,6425000000e+001	 2,44630e+001	-5,25703e+000
36	 6,6437500000e+001	 2,46333e+001	-5,35805e+000
37	 6,6450000000e+001	 2,47443e+001	-5,33283e+000
38	 6,6462500000e+001	 2,48651e+001	-5,25629e+000
39	 6,6475000000e+001	 2,49423e+001	-5,30845e+000
40	 6,6487500000e+001	 2,48930e+001	-5,30102e+000
41	 6,6500000000e+001	 2,51319e+001	-5,28764e+000
42	 6,6512500000e+001	 2,54174e+001	-5,50124e+000
43	 6,6525000000e+001	 2,55322e+001	-5,54283e+000
44	 6,6537500000e+001	 2,56755e+001	-5,52662e+000
45	 6,6550000000e+001	 2,57999e+001	-5,44588e+000
46	 6,6562500000e+001	 2,58209e+001	-5,53916e+000
47	 6,6575000000e+001	 2,59182e+001	-5,69799e+000
48	 6,6587500000e+001	 2,61217e+001	-5,67755e+000
49	 6,6600000000e+001	 2,63111e+001	-5,66322e+000
50	 6,6612500000e+001	 2,63970e+001	-5,72152e+000
51	 6,6625000000e+001	 2,65327e+001	-5,86409e+000
52	 6,6637500000e+001	 2,67477e+001	-5,95891e+000
53	 6,6650000000e+001	 2,70315e+001	-5,86377e+000
54	 6,6662500000e+001	 2,70940e+001	-5,87305e+000
55	 6,6675000000e+001	 2,71505e+001	-5,95131e+000
56	 6,6687500000e+001	 2,73807e+001	-6,08802e+000
57	 6,6700000000e+001	 2,72845e+001	-6,16659e+000
58	 6,6712500000e+001	 2,73528e+001	-6,14227e+000
59	 6,6725000000e+001	 2,75810e+001	-6,14005e+000
60	 6,6737500000e+001	 2,78227e+001	-6,11659e+000
61	 6,6750000000e+001	 2,80383e+001	-6,12642e+000
62	 6,6762500000e+001	 2,80755e+001	-6,28486e+000
63	 6,6775000000e+001	 2,81124e+001	-6,26703e+000
64	 6,6787500000e+001	 2,84891e+001	-6,48596e+000
65	 6,6800000000e+001	 2,86372e+001	-6,50585e+000
66	 6,6812500000e+001	 2,86292e+001	-6,53344e+000
67	 6,6825000000e+001	 2,87879e+001	-6,51041e+000
68	 6,6837500000e+001	 2,90225e+001	-6,55060e+000
69	 6,6850000000e+001	 2,91131e+001	-6,54181e+000
70	 6,6862500000e+001	 2,91563e+001	-6,56624e+000
71	 6,6875000000e+001	 2,93306e+001	-6,55724e+000
72	 6,6887500000e+001	 2,95662e+001	-6,59174e+000
73	 6,6900000000e+001	 2,97319e+001	-6,76689e+000
74	 6,6912500000e+001	 2,98352e+001	-6,82524e+000
75	 6,6925000000e+001	 3,00397e+001	-6,79157e+000
76	 6,6937500000e+001	 3,01021e+001	-6,78804e+000
77	 6,6950000000e+001	 3,03624e+001	-7,06536e+000
78	 6,6962500000e+001	 3,05300e+001	-7,12689e+000
79	 6,6975000000e+001	 3,06885e+001	-7,20928e+000
80	 6,6987500000e+001	 3,09087e+001	-7,04751e+000
81	 6,7000000000e+001	 3,10374e+001	-6,96901e+000
82	 6,7012500000e+001	 3,09947e+001	-6,98528e+000
83	 6,7025000000e+001	 3,10512e+001	-6,89771e+000
84	 6,7037500000e+001	 3,14272e+001	-7,10436e+000
85	 6,7050000000e+001	 3,15122e+001	-7,27940e+000
86	 6,7062500000e+001	 3,16867e+001	-7,42926e+000
87	 6,7075000000e+001	 3,18795e+001	-7,47920e+000
88	 6,7087500000e+001	 3,21612e+001	-7,46674e+000
89	 6,7100000000e+001	 3,23499e+001	-7,43674e+000
90	 6,7112500000e+001	 3,24266e+001	-7,49860e+000
91	 6,7125000000e+001	 3,24338e+001	-7,30903e+000
92	 6,7137500000e+001	 3,28426e+001	-7,36784e+000
93	 6,7150000000e+001	 3,31219e+001	-7,73869e+000
94	 6,7162500000e+001	 3,31218e+001	-7,76413e+000
95	 6,7175000000e+001	 3,31843e+001	-7,90584e+000
96	 6,7187500000e+001	 3,34090e+001	-7,89288e+000
97	 6,7200000000e+001	 3,35965e+001	-7,92218e+000
98	 6,7212500000e+001	 3,36352e+001	-7,94572e+000
99	 6,7225000000e+001	 3,38562e+001	-8,15254e+000
100	 6,7237500000e+001	 3,41560e+001	-8,18845e+000
101	 6,7250000000e+001	 3,44214e+001	-8,01738e+000
102	 6,7262500000e+001	 3,46049e+001	-8,07805e+000
103	 6,7275000000e+001	 3,47547e+001	-8,33748e+000
104	 6,7287500000e+001	 3,49468e+001	-8,37993e+000
105	 6,7300000000e+001	 3,49853e+001	-8,45315e+000
106	 6,7312500000e+001	 3,52102e+001	-8,65880e+000
107	 6,7325000000e+001	 3,55174e+001	-8,27719e+000
108	 6,7337500000e+001	 3,56074e+001	-8,40232e+000
109	 6,7350000000e+001	 3,58428e+001	-8,57246e+000
110	 6,7362500000e+001	 3,58808e+001	-8,49506e+000
111	 6,7375000000e+001	 3,60567e+001	-8,46712e+000
112	 6,7387500000e+001	 3,63200e+001	-8,83562e+000
113	 6,7400000000e+001	 3,67190e+001	-9,21741e+000
114	 6,7412500000e+001	 3,67908e+001	-9,21197e+000
115	 6,7425000000e+001	 3,70073e+001	-8,97365e+000
116	 6,7437500000e+001	 3,72514e+001	-8,94524e+000
117	 6,7450000000e+001	 3,75645e+001	-9,18733e+000
118	 6,7462500000e+001	 3,74330e+001	-9,23499e+000
119	 6,7475000000e+001	 3,78647e+001	-9,24619e+000
120	 6,7487500000e+001	 3,81406e+001	-9,43135e+000
121	 6,7500000000e+001	 3,82431e+001	-9,51785e+000
122	 6,7512500000e+001	 3,82989e+001	-9,56530e+000
123	 6,7525000000e+001	 3,85512e+001	-9,70150e+000
124	 6,7537500000e+001	 3,87249e+001	-9,68206e+000
125	 6,7550000000e+001	 3,89404e+001	-9,62155e+000
126	 6,7562500000e+001	 3,89102e+001	-9,80125e+000
127	 6,7575000000e+001	 3,94863e+001	-9,82964e+000
